StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q25,Q28,Q31,Q34,Q5,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q9,Q11,Q12,Q10,Q1,Condition,Q35_7_TEXT - Topics
2018-10-24 15:54:59,2018-10-24 15:55:59,IP Address,104.231.99.74,100,60,True,2018-10-24 15:55:59,R_3KNEb8bAtxDIWrK,,,,,41.638397216796875,-81.37870025634765625,anonymous,EN,Yes- I consent,,,,,44060,38,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:54:56,2018-10-24 15:55:59,IP Address,204.16.38.36,100,63,True,2018-10-24 15:55:59,R_3qkDkTvfakh9Ghc,,,,,39.121307373046875,-90.33380126953125,anonymous,EN,Yes- I consent,A Woman,,,,62052,24,Male,,Caucasian,,Coors Light,Maybe,No,Somewhere in-between,Yes,1,
2018-10-24 15:54:14,2018-10-24 15:56:05,IP Address,99.173.169.25,100,110,True,2018-10-24 15:56:05,R_pgBTRQv1trJm0wx,,,,,35.68719482421875,-80.56690216064453125,anonymous,EN,Yes- I consent,,,A Man,,28144,32,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:55:21,2018-10-24 15:56:19,IP Address,68.14.1.57,100,57,True,2018-10-24 15:56:19,R_3nJDzeTBd5EzhfM,,,,,41.4875946044921875,-71.3271026611328125,anonymous,EN,Yes- I consent,,A Woman,,,02840,33,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:53:56,2018-10-24 15:56:21,IP Address,206.74.53.116,100,145,True,2018-10-24 15:56:21,R_1ihAJCnKYMQu1sn,,,,,34.6930999755859375,-81.25820159912109375,anonymous,EN,Yes- I consent,A Woman,,,,29706,61,Female,,Caucasian,,Coors Light,Maybe,Yes,Somewhere in-between,Yes,1,
2018-10-24 15:55:39,2018-10-24 15:56:22,IP Address,174.85.255.66,100,43,True,2018-10-24 15:56:22,R_2RQin8g2ySQEwqX,,,,,34.7675018310546875,-87.1056976318359375,anonymous,EN,Yes- I consent,,,A Man,,35613,23,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,3,
2018-10-24 15:55:40,2018-10-24 15:56:24,IP Address,174.110.195.255,100,43,True,2018-10-24 15:56:24,R_33fYqFZVChaEDOq,,,,,35.0570068359375,-79.01470184326171875,anonymous,EN,Yes- I consent,A Woman,,,,28306,26,Male,,Black/African,,Iced Tea,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:56:02,2018-10-24 15:56:42,IP Address,75.40.162.228,100,40,True,2018-10-24 15:56:43,R_2YanJzQTPmYf8ZG,,,,,25.858795166015625,-80.38390350341796875,anonymous,EN,Yes- I consent,,,,,33178,40,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,5,
2018-10-24 15:56:10,2018-10-24 15:56:44,IP Address,173.20.80.208,100,34,True,2018-10-24 15:56:45,R_3j2kyJtcVHGcn61,,,,,41.48699951171875,-90.47730255126953125,anonymous,EN,Yes- I consent,,,A Man,,52803,30,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,3,
2018-10-24 15:56:16,2018-10-24 15:56:46,IP Address,70.178.174.8,100,30,True,2018-10-24 15:56:46,R_3fpCaLIrOeLdL2i,,,,,36.052001953125,-94.1533966064453125,anonymous,EN,Yes- I consent,,,,,72701,22,Male,,Caucasian,,Water,Yes,No,Somewhere in-between,Yes,5,
2018-10-24 15:56:07,2018-10-24 15:56:47,IP Address,73.121.40.216,100,39,True,2018-10-24 15:56:47,R_3HF7ynRyPHIozmx,,,,,36.26519775390625,-82.8339996337890625,anonymous,EN,Yes- I consent,,,A Man,,37743,25,Male,,Caucasian,,Iced Tea,No,No,Somewhere in-between,No,3,
2018-10-24 15:56:10,2018-10-24 15:56:49,IP Address,24.211.41.244,100,39,True,2018-10-24 15:56:49,R_3p3I6gqv09NpZnd,,,,,34.183807373046875,-79.772796630859375,anonymous,EN,Yes- I consent,,,,A man and a woman,29506,25,Male,,Black/African,,Water,Yes,Yes,Somewhere in-between,Yes,4,
2018-10-24 15:56:10,2018-10-24 15:56:52,IP Address,73.75.239.33,100,41,True,2018-10-24 15:56:52,R_tVrazmHrfVQagtb,,,,,42.007598876953125,-87.99310302734375,anonymous,EN,Yes- I consent,A Woman,,,,60007,20,Female,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:56:10,2018-10-24 15:56:53,IP Address,47.17.184.195,100,43,True,2018-10-24 15:56:53,R_SSLlW8W5nL0J6dH,,,,,40.646697998046875,-73.957000732421875,anonymous,EN,Yes- I consent,,,,,11230,38,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:56:06,2018-10-24 15:56:55,IP Address,50.83.133.10,100,49,True,2018-10-24 15:56:55,R_3QGL438WCl4elpx,,,,,41.4866943359375,-90.57250213623046875,anonymous,EN,Yes- I consent,A Woman,,,,52807,31,Male,,Asian,,Water,Maybe,Yes,Lean Democrat,Yes,1,
2018-10-24 15:55:42,2018-10-24 15:56:56,IP Address,24.53.64.226,100,74,True,2018-10-24 15:56:56,R_24e274xcJXvViSx,,,,,37.343994140625,-79.20639801025390625,anonymous,EN,Yes- I consent,,,,A man and a woman,24502,32,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:55:39,2018-10-24 15:56:57,IP Address,75.20.133.139,100,77,True,2018-10-24 15:56:57,R_3372f6WZSXyo0e8,,,,,39.0731048583984375,-94.353302001953125,anonymous,EN,Yes- I consent,,A Woman,,,64136,47,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:56:13,2018-10-24 15:57:11,IP Address,104.6.40.152,100,58,True,2018-10-24 15:57:12,R_qJ9VpDNZHoDXc1r,,,,,39.6985931396484375,-86.2404022216796875,anonymous,EN,Yes- I consent,,,,,46221,44,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:56:10,2018-10-24 15:57:23,IP Address,204.195.173.73,100,73,True,2018-10-24 15:57:23,R_ahr9AunPuCVE3br,,,,,40.3072052001953125,-78.94300079345703125,anonymous,EN,Yes- I consent,,A Woman,,,28269,55,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,2,
2018-10-24 15:56:21,2018-10-24 15:57:41,IP Address,75.148.93.234,100,79,True,2018-10-24 15:57:42,R_307h11Va9KqHOuk,,,,,44.626007080078125,-123.05699920654296875,anonymous,EN,Yes- I consent,,,,A man and a woman,97060,32,Male,,Other - Please specify,MIXED,Water,Yes,Yes,Lean Republican,Yes,4,Unknown
2018-10-24 15:57:20,2018-10-24 15:57:57,IP Address,108.224.187.241,100,36,True,2018-10-24 15:57:57,R_2rGZV4KjT5ZKz3T,,,,,42.4709930419921875,-83.143798828125,anonymous,EN,Yes- I consent,,A Woman,,,48009,33,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:57:00,2018-10-24 15:58:11,IP Address,172.58.152.96,100,71,True,2018-10-24 15:58:11,R_b7QU1EhKQNqUGZP,,,,,28.6343994140625,-81.622100830078125,anonymous,EN,Yes- I consent,,,A Man,,27502,48,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:56:52,2018-10-24 15:58:17,IP Address,74.195.18.196,100,85,True,2018-10-24 15:58:18,R_1kLhWAeffoxIoC1,,,,,37.3910064697265625,-81.0417022705078125,anonymous,EN,Yes- I consent,,A Woman,,,24740,29,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:58:05,2018-10-24 15:58:45,IP Address,65.102.59.14,100,40,True,2018-10-24 15:58:45,R_3iQOKfpYVHOI2mT,,,,,45.4839935302734375,-122.636505126953125,anonymous,EN,Yes- I consent,,,A Man,,97202,41,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:57:44,2018-10-24 15:58:45,IP Address,64.253.16.94,100,61,True,2018-10-24 15:58:46,R_2b14kv6qCbt7xUB,,,,,32.2512969970703125,-80.872100830078125,anonymous,EN,Yes- I consent,,,,A man and a woman,29910,45,Female,,Caucasian,,Water,Maybe,No,Lean Democrat,Yes,4,
2018-10-24 15:56:49,2018-10-24 15:59:31,IP Address,172.1.229.28,100,161,True,2018-10-24 15:59:31,R_1o8eJIyDZAjXAsO,,,,,35.653900146484375,-83.99559783935546875,anonymous,EN,Yes- I consent,A Woman,,,,37803,25,Female,,Caucasian,,Iced Tea,Maybe,Yes,Lean Democrat,Yes,1,
2018-10-24 15:59:06,2018-10-24 15:59:47,IP Address,108.28.228.197,100,41,True,2018-10-24 15:59:48,R_3MJQ2DBdNCXk2Gg,,,,,39.276092529296875,-77.21309661865234375,anonymous,EN,Yes- I consent,A Woman,,,,20850,27,Male,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:58:47,2018-10-24 15:59:50,IP Address,70.191.114.5,100,62,True,2018-10-24 15:59:50,R_2XiiGwqFazBAlWr,,,,,41.4817047119140625,-81.802398681640625,anonymous,EN,Yes- I consent,A Woman,,,,44107,35,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:58:18,2018-10-24 15:59:56,IP Address,24.198.202.224,100,98,True,2018-10-24 15:59:56,R_1jQgHoNFUHjVxlp,,,,,42.0868988037109375,-76.83969879150390625,anonymous,EN,Yes- I consent,,,,A man and a woman,14904,52,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:58:56,2018-10-24 15:59:56,IP Address,192.254.1.7,100,60,True,2018-10-24 15:59:57,R_2Bn9ZhHBv8r76r2,,,,,47.611602783203125,-122.30560302734375,anonymous,EN,Yes- I consent,,,A Man,,98424,49,Female,,Caucasian,,Water,Yes,No,Lean Democrat,Yes,3,
2018-10-24 15:59:02,2018-10-24 15:59:57,IP Address,72.234.148.153,100,54,True,2018-10-24 15:59:57,R_3HAeXdYzPOMEyxL,,,,,19.7024993896484375,-155.093902587890625,anonymous,EN,Yes- I consent,,,,,96749,50,Female,,Other - Please specify,Mixed Asian/Caucasian,Water,No,Yes,Lean Democrat,No,5,Unknown
2018-10-24 15:59:29,2018-10-24 15:59:59,IP Address,98.116.57.199,100,29,True,2018-10-24 15:59:59,R_1BSmm3snbziteeQ,,,,,40.7855072021484375,-73.845001220703125,anonymous,EN,Yes- I consent,,,,,11354,21,Male,,Asian,,Iced Tea,No,No,Lean Democrat,Yes,5,
2018-10-24 15:59:14,2018-10-24 16:00:28,IP Address,104.5.135.74,100,74,True,2018-10-24 16:00:29,R_1Q9oJGC7ZSaKigR,,,,,30.4600982666015625,-89.08860015869140625,anonymous,EN,Yes- I consent,,A Woman,,,39574,57,Female,,Caucasian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,2,
2018-10-24 15:59:46,2018-10-24 16:00:30,IP Address,100.36.161.187,100,43,True,2018-10-24 16:00:30,R_3RjY6Shq9rWVpZD,,,,,38.789398193359375,-77.28179931640625,anonymous,EN,Yes- I consent,,,A Man,,90011,24,Male,,Caucasian,,Water,Maybe,Yes,Lean Republican,Yes,3,
2018-10-24 15:59:50,2018-10-24 16:00:30,IP Address,173.217.96.226,100,40,True,2018-10-24 16:00:30,R_3aac0z0K4cWR4sh,,,,,30.1692962646484375,-93.2218017578125,anonymous,EN,Yes- I consent,,,,A man and a woman,70607,33,Female,,Caucasian,,Coors Light,No,No,Somewhere in-between,No,4,
2018-10-24 15:59:37,2018-10-24 16:00:42,IP Address,96.253.3.99,100,64,True,2018-10-24 16:00:42,R_3KW9BukgrSIs2Iu,,,,,41.4875946044921875,-71.3271026611328125,anonymous,EN,Yes- I consent,,A Woman,,,02837,35,Female,,Caucasian,,Coors Light,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:59:50,2018-10-24 16:00:47,IP Address,71.200.43.89,100,57,True,2018-10-24 16:00:47,R_3j3vXLDSvqivrpO,,,,,39.156402587890625,-75.4954986572265625,anonymous,EN,Yes- I consent,,,,,19904,68,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:59:31,2018-10-24 16:00:47,IP Address,99.203.10.191,100,76,True,2018-10-24 16:00:48,R_3HqvlDEA1X9DxpD,,,,,34.0092926025390625,-118.25839996337890625,anonymous,EN,Yes- I consent,,,,A man and a woman,91790,37,Male,,Other - Please specify,"Hispanic ",Water,Yes,No,Lean Democrat,,4,Unknown
2018-10-24 15:59:49,2018-10-24 16:00:50,IP Address,98.231.225.246,100,61,True,2018-10-24 16:00:50,R_AAGB6AE0cJjI98t,,,,,39.2655029296875,-76.493499755859375,anonymous,EN,Yes- I consent,,A Woman,,,21224,39,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:59:51,2018-10-24 16:00:52,IP Address,64.130.184.152,100,61,True,2018-10-24 16:00:53,R_20YvPlx0Ft4Ebxu,,,,,37.289794921875,-85.92009735107421875,anonymous,EN,Yes- I consent,,,,,42765,37,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,5,
2018-10-24 16:00:21,2018-10-24 16:00:59,IP Address,23.235.110.10,100,37,True,2018-10-24 16:00:59,R_ThYuXs5JgzdA2qZ,,,,,55.3719940185546875,-131.683197021484375,anonymous,EN,Yes- I consent,,,,A man and a woman,99901,30,Male,,Caucasian,,Coors Light,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 16:00:14,2018-10-24 16:01:04,IP Address,162.226.205.222,100,50,True,2018-10-24 16:01:05,R_2ZBo8TNKSyExrNN,,,,,33.369598388671875,-84.81939697265625,anonymous,EN,Yes- I consent,,A Woman,,,30263,24,Female,,Caucasian,,Water,Yes,No,Lean Republican,Yes,2,
2018-10-24 15:59:58,2018-10-24 16:01:18,IP Address,96.35.107.8,100,80,True,2018-10-24 16:01:19,R_3fdtPk8ibEEeSQZ,,,,,42.458099365234375,-83.94680023193359375,anonymous,EN,Yes- I consent,A Woman,,,,48103,40,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 16:00:01,2018-10-24 16:01:21,IP Address,97.104.32.220,100,79,True,2018-10-24 16:01:21,R_27OIjRjw8eQe2sO,,,,,28.2039947509765625,-81.4951019287109375,anonymous,EN,Yes- I consent,,,A Man,,34758,34,Female,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 16:00:44,2018-10-24 16:01:26,IP Address,173.174.117.171,100,41,True,2018-10-24 16:01:27,R_2zoPShATzPxgGbm,,,,,30.403594970703125,-97.75260162353515625,anonymous,EN,Yes- I consent,,,,,78731,49,Female,,Caucasian,,Coors Light,Yes,Yes,Somewhere in-between,Yes,5,
2018-10-24 16:00:23,2018-10-24 16:01:27,IP Address,174.59.105.108,100,63,True,2018-10-24 16:01:27,R_1OhWCS5NYYuMTO9,,,,,40.108306884765625,-76.5102996826171875,anonymous,EN,Yes- I consent,,,A Man,,17552,23,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 16:00:24,2018-10-24 16:01:29,IP Address,68.97.217.240,100,64,True,2018-10-24 16:01:29,R_3Rlr00DjP1rhIBI,,,,,35.4259033203125,-97.52610015869140625,anonymous,EN,Yes- I consent,,,A Man,,73135,42,Female,,Caucasian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 16:00:41,2018-10-24 16:01:37,IP Address,68.193.24.142,100,56,True,2018-10-24 16:01:38,R_3nT9E6enxxG9BRr,,,,,40.675994873046875,-73.96289825439453125,anonymous,EN,Yes- I consent,,,,,11206,32,Male,,Black/African,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 16:00:39,2018-10-24 16:01:45,IP Address,74.222.111.95,100,65,True,2018-10-24 16:01:45,R_27wVR7IFwdrh9cT,,,,,33.6183929443359375,-80.21160125732421875,anonymous,EN,Yes- I consent,A Woman,,,,29154,26,Male,,Caucasian,,Water,Maybe,No,Lean Republican,Yes,1,
2018-10-24 16:00:27,2018-10-24 16:01:58,IP Address,76.188.109.52,100,91,True,2018-10-24 16:01:59,R_BslUDEY43Db0ouJ,,,,,41.2292022705078125,-80.42440032958984375,anonymous,EN,Yes- I consent,,A Woman,,,44403,40,Female,,Caucasian,,Water,Maybe,No,Lean Democrat,,2,
2018-10-24 16:00:59,2018-10-24 16:02:06,IP Address,76.219.73.98,100,66,True,2018-10-24 16:02:06,R_2BbXz61sXTsSIut,,,,,34.1132049560546875,-117.377105712890625,anonymous,EN,Yes- I consent,,,,A man and a woman,92376,30,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 16:00:45,2018-10-24 16:02:16,IP Address,174.27.190.173,100,90,True,2018-10-24 16:02:16,R_12zjKWdTIDA5nUQ,,,,,43.71099853515625,-116.2516021728515625,anonymous,EN,Yes- I consent,A Woman,,,,83647,32,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,1,
2018-10-24 16:00:51,2018-10-24 16:02:28,IP Address,66.196.11.64,100,97,True,2018-10-24 16:02:28,R_3fvh7Eab1NbUgtH,,,,,31.1063995361328125,-97.40709686279296875,anonymous,EN,Yes- I consent,A Woman,,,,76569,24,Female,,Black/African,,Water,Yes,No,Lean Republican,Yes,1,
2018-10-24 16:00:46,2018-10-24 16:02:46,IP Address,104.10.29.29,100,119,True,2018-10-24 16:02:46,R_2TC9hSPUglTnaKx,,,,,33.920806884765625,-117.45890045166015625,anonymous,EN,Yes- I consent,,,,A man and a woman,92503,34,Male,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 16:02:02,2018-10-24 16:03:10,IP Address,155.186.243.44,100,68,True,2018-10-24 16:03:10,R_3g5vsCl8mxON11h,,,,,32.392303466796875,-84.9315032958984375,anonymous,EN,Yes- I consent,,,A Man,,14606,29,Male,,Caucasian,,Coors Light,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 16:02:24,2018-10-24 16:03:17,IP Address,99.127.82.244,100,53,True,2018-10-24 16:03:17,R_8v01lRmxIJ4r9VD,,,,,28.5897979736328125,-81.4927978515625,anonymous,EN,Yes- I consent,A Woman,,,,32818,37,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 16:02:40,2018-10-24 16:03:22,IP Address,12.195.149.34,100,42,True,2018-10-24 16:03:22,R_1IY2Vw0P5OaEfst,,,,,37.90899658203125,-86.89569854736328125,anonymous,EN,Yes- I consent,,,,,47119,54,Male,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,5,
2018-10-24 16:01:54,2018-10-24 16:03:27,IP Address,67.61.190.144,100,93,True,2018-10-24 16:03:28,R_26hH7yYVuCUbGm8,,,,,34.2998046875,-110,anonymous,EN,Yes- I consent,,A Woman,,,85929,66,Female,,Caucasian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,2,
2018-10-24 16:02:12,2018-10-24 16:03:45,IP Address,172.101.71.114,100,93,True,2018-10-24 16:03:45,R_3JeBte5KVeLWYEs,,,,,42.968505859375,-78.74919891357421875,anonymous,EN,Yes- I consent,,A Woman,,,14226,59,Female,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,2,
2018-10-24 16:02:59,2018-10-24 16:03:51,IP Address,50.225.144.66,100,52,True,2018-10-24 16:03:51,R_1mnsfuviDObWK3m,,,,,39.9766998291015625,-75.25859832763671875,anonymous,EN,Yes- I consent,,,,A man and a woman,19073,30,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 16:02:59,2018-10-24 16:04:05,IP Address,68.115.100.65,100,65,True,2018-10-24 16:04:05,R_3e3HtZNG5kuXmLR,,,,,44.1537933349609375,-93.996002197265625,anonymous,EN,Yes- I consent,,,,,56001,53,Female,,Caucasian,,Iced Tea,No,No,Somewhere in-between,No,5,
2018-10-24 16:03:10,2018-10-24 16:04:10,IP Address,68.217.202.145,100,60,True,2018-10-24 16:04:10,R_1LhZwbWXiDTbblA,,,,,33.448699951171875,-82.321197509765625,anonymous,EN,Yes- I consent,,,,A man and a woman,30824,34,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 16:02:59,2018-10-24 16:04:11,IP Address,184.90.231.103,100,71,True,2018-10-24 16:04:11,R_3RkAFJtZryWqfLM,,,,,28.5142974853515625,-81.442901611328125,anonymous,EN,Yes- I consent,,,A Man,,32836,58,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 16:03:46,2018-10-24 16:04:15,IP Address,107.185.224.96,100,28,True,2018-10-24 16:04:16,R_1QiHMgXZdzbVpLJ,,,,,33.822998046875,-118.268402099609375,anonymous,EN,Yes- I consent,,A Woman,,,90746,27,Male,,Asian,,Iced Tea,Maybe,No,Lean Democrat,No,2,
2018-10-24 16:02:56,2018-10-24 16:04:18,IP Address,68.230.52.46,100,82,True,2018-10-24 16:04:19,R_2aPu66SpKQAOXFo,,,,,32.21380615234375,-110.82399749755859375,anonymous,EN,Yes- I consent,,,A Man,,85747,55,Female,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 16:03:57,2018-10-24 16:04:49,IP Address,73.69.64.221,100,52,True,2018-10-24 16:04:49,R_22MrOf0BnxNpuRO,,,,,42.3426971435546875,-71.09220123291015625,anonymous,EN,Yes- I consent,A Woman,,,,02215,20,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 16:04:18,2018-10-24 16:05:09,IP Address,207.191.29.2,100,50,True,2018-10-24 16:05:09,R_3s5fvuFtg9lGwDi,,,,,29.9467926025390625,-90.1230010986328125,anonymous,EN,Yes- I consent,,A Woman,,,70056,47,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 16:04:13,2018-10-24 16:05:17,IP Address,73.154.152.8,100,64,True,2018-10-24 16:05:18,R_3n1MHrCzkXNTuK6,,,,,40.024505615234375,-80.80049896240234375,anonymous,EN,Yes- I consent,A Woman,,,,26003,38,Female,,Caucasian,,Water,No,No,Lean Democrat,No,1,
2018-10-24 16:04:28,2018-10-24 16:05:19,IP Address,47.38.57.83,100,51,True,2018-10-24 16:05:19,R_5hjEeaYTu564Zs5,,,,,30.4008941650390625,-90.3936004638671875,anonymous,EN,Yes- I consent,,,A Man,,70754,39,Female,,Caucasian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 16:04:29,2018-10-24 16:05:46,IP Address,73.91.206.91,100,76,True,2018-10-24 16:05:47,R_1P7sXPgnJyzWwQ9,,,,,35.251007080078125,-90.02960205078125,anonymous,EN,Yes- I consent,,,,,48141,28,Male,,Black/African,,Iced Tea,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 16:04:39,2018-10-24 16:05:52,IP Address,173.27.10.178,100,72,True,2018-10-24 16:05:52,R_BDq5ZFZdCcA4tON,,,,,40.8424072265625,-91.1072998046875,anonymous,EN,Yes- I consent,,,,A man and a woman,52627,66,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 16:05:13,2018-10-24 16:06:17,IP Address,75.118.115.225,100,63,True,2018-10-24 16:06:18,R_33jqfuZfas4QQ6x,,,,,41.5019073486328125,-82.01110076904296875,anonymous,EN,Yes- I consent,,A Woman,,,44012,44,Female,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 16:05:22,2018-10-24 16:06:22,IP Address,99.132.128.195,100,59,True,2018-10-24 16:06:22,R_3D6eKRCjctYbE8F,,,,,29.4237060546875,-98.49250030517578125,anonymous,EN,Yes- I consent,A Woman,,,,78202,26,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 16:06:02,2018-10-24 16:06:42,IP Address,174.20.54.15,100,39,True,2018-10-24 16:06:42,R_3fxDjseCO650kNT,,,,,45.019195556640625,-93.2400970458984375,anonymous,EN,Yes- I consent,,,,,55423,36,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 16:05:49,2018-10-24 16:06:51,IP Address,75.133.133.32,100,61,True,2018-10-24 16:06:52,R_1ODpqoFhvwcPKKE,,,,,43.3809051513671875,-84.6634979248046875,anonymous,EN,Yes- I consent,,,,A man and a woman,48858,48,Female,,Caucasian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,4,
2018-10-24 16:06:34,2018-10-24 16:07:17,IP Address,70.177.181.202,100,43,True,2018-10-24 16:07:18,R_DkO4awwpD0HKUkF,,,,,33.7169036865234375,-112.23799896240234375,anonymous,EN,Yes- I consent,,,,A man and a woman,85310,33,Female,,Caucasian,,Coors Light,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 16:06:40,2018-10-24 16:07:24,IP Address,98.155.163.29,100,43,True,2018-10-24 16:07:24,R_1esACBbVwsRYuqw,,,,,21.3907928466796875,-157.933197021484375,anonymous,EN,Yes- I consent,,,,,96782,31,Female,,Caucasian,,Water,Maybe,No,Lean Democrat,Yes,5,
2018-10-24 16:06:36,2018-10-24 16:07:54,IP Address,73.228.101.183,100,77,True,2018-10-24 16:07:54,R_W7Lqyg3Xyjh0bzb,,,,,41.8267059326171875,-111.875,anonymous,EN,Yes- I consent,,,A Man,,84339,33,Female,,Caucasian,,Water,Yes,No,Lean Democrat,Yes,3,
2018-10-24 16:07:21,2018-10-24 16:07:58,IP Address,99.101.100.7,100,37,True,2018-10-24 16:07:59,R_30e1EvSH27oPXoJ,,,,,35.0514068603515625,-89.9264984130859375,anonymous,EN,Yes- I consent,A Woman,,,,38118,30,Male,,Caucasian,,Iced Tea,Maybe,No,Lean Democrat,Yes,1,
2018-10-24 16:06:57,2018-10-24 16:08:09,IP Address,108.17.58.160,100,72,True,2018-10-24 16:08:09,R_1pDTvkUjUVvnjDm,,,,,42.971893310546875,-78.87689971923828125,anonymous,EN,Yes- I consent,,A Woman,,,14217,35,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 16:07:41,2018-10-24 16:08:19,IP Address,50.44.186.44,100,38,True,2018-10-24 16:08:19,R_eW05RvmvKQV4Nnr,,,,,40.478302001953125,-88.9893035888671875,anonymous,EN,Yes- I consent,,A Woman,,,61705,47,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,2,
2018-10-24 16:07:38,2018-10-24 16:08:31,IP Address,70.95.135.76,100,52,True,2018-10-24 16:08:31,R_2XpV8M5Hp56BE5S,,,,,32.91229248046875,-117.0897979736328125,anonymous,EN,Yes- I consent,,,A Man,,92131,22,Male,,Asian,,Iced Tea,Maybe,No,Lean Democrat,Yes,3,
2018-10-24 16:08:02,2018-10-24 16:08:33,IP Address,174.193.128.144,100,30,True,2018-10-24 16:08:33,R_VL93xJZTdGLyJCp,,,,,35.131103515625,-80.8511962890625,anonymous,EN,Yes- I consent,,,,,29418,33,Male,,Caucasian,,Water,Maybe,No,Somewhere in-between,Yes,5,
2018-10-24 16:07:35,2018-10-24 16:08:36,IP Address,74.83.196.183,100,61,True,2018-10-24 16:08:37,R_2bOtWZT2MPAYeZR,,,,,39.335693359375,-84.31490325927734375,anonymous,EN,Yes- I consent,A Woman,,,,45039,34,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,1,
